GeneID	e125_1	e125_2	e125_3	e165_1	e165_2	e165_3	adult_1	adult_2	adult_3
ensmusg00000042182	46	34	60	559	215	525	1202	1990	1265
ensmusg00000104416	0	0	4	1	0	1	0	2	0
ensmusg00000026131	11773	9056	17501	12538	8809	17263	12973	18216	9065
ensmusg00000103596	1	0	0	1	3	0	1	5	0
ensmusg00000099382	0	0	0	1	0	0	0	0	0
ensmusg00000084506	0	0	0	0	0	0	1	0	0
ensmusg00000103364	7	4	5	11	4	0	1	0	2
ensmusg00000105982	0	0	0	0	0	0	0	0	0
ensmusg00000096992	4	5	33	1	2	3	3	19	0
ensmusg00000103001	6	2	0	3	2	1	11	2	0
ensmusg00000104397	0	0	0	0	0	0	0	0	0
ensmusg00000102839	0	0	0	0	0	0	0	0	0
ensmusg00000101206	0	1	0	0	0	0	0	0	0
ensmusg00000101462	17	2	8	0	0	6	0	0	0
ensmusg00000102336	110	98	93	39	26	75	20	23	14
ensmusg00000092852	0	0	0	0	0	0	0	0	0
ensmusg00000042111	321	330	349	129	115	200	100	134	64
ensmusg00000101711	0	0	0	0	0	0	0	0	0
ensmusg00000026127	302	410	397	142	176	381	166	198	109
ensmusg00000026126	4	2	2	0	9	3	6	5	5
ensmusg00000100280	0	0	0	0	0	1	0	10	0
ensmusg00000101223	0	0	0	0	0	0	0	0	2
ensmusg00000026125	0	0	0	0	0	0	0	0	0
ensmusg00000101116	0	0	0	0	0	0	0	0	0
ensmusg00000026124	0	0	0	2	4	1	0	0	1
ensmusg00000101803	0	0	0	0	0	0	0	0	0
ensmusg00000037529	0	0	0	2	0	2	0	10	0
ensmusg00000045815	1	1	0	0	0	0	0	0	0
ensmusg00000045174	45	41	54	147	176	288	100	94	55
ensmusg00000100524	0	0	0	0	4	0	4	0	0
ensmusg00000102499	0	0	0	0	0	0	0	0	0
ensmusg00000103521	0	0	0	2	0	0	0	0	0
ensmusg00000104098	0	0	0	0	3	0	8	0	0
ensmusg00000037509	5959	3770	6880	3160	3281	6817	2179	2695	2265
ensmusg00000102537	12	9	8	0	0	0	0	0	0
ensmusg00000102612	25	7	24	6	0	3	5	0	0
ensmusg00000104002	20	23	12	34	16	27	17	14	23
ensmusg00000037503	1867	1905	2457	1717	1478	3358	1495	1974	890
